CODIGO,NOME,CATEGORIA,Centroides_x,Centroides_y
330,MORADIAS 23 DE AGOSTO II,Assentamento Em Regularização,-49.24468156,-25.55073024
66,DR. ULISSES GUIMARÃES-INDEPENDÊNCIA II (Piratini),Assentamento Em Regularização,-49.28447502,-25.51942285
438,VILA BOECY,Loteamento Clandestino Sem Regularização,-49.24774545,-25.53934634
29,CACHOEIRA (Bairro Novo),Assentamento Sem Regularização,-49.27176216,-25.55306933
459,RECANTO FELIZ II,Assentamento Sem Regularização,-49.24497507,-25.5472582
216,SAN MARCO (Jardim Piratini),Assentamento Sem Regularização,-49.28772933,-25.51980822
87,INDEPENDÊNCIA II,Assentamento Em Regularização,-49.28393635,-25.51900482
344,ESMERALDA I (Nossa Senhora de Lourdes),Assentamento Sem Regularização,-49.26821814,-25.50457203
177,REX (Vila São Pedro),Assentamento Sem Regularização,-49.27153242,-25.51510124
177,REX (Vila São Pedro),Assentamento Sem Regularização,-49.27153242,-25.51510124
159,JARDIM PARANAENSE,Assentamento Sem Regularização,-49.24795329,-25.53912311
